iter	Passed	Remaining
643	17751	9813
644	17774	9782
645	17796	9752
646	17820	9722
647	17875	9710
648	17920	9691
649	17942	9661
650	17966	9631
651	17987	9600
652	18008	9569
653	18034	9541
654	18056	9510
655	18081	9481
656	18120	9460
657	18162	9439
658	18190	9412
659	18215	9383
660	18239	9354
661	18270	9328
662	18299	9301
663	18341	9281
664	18373	9255
665	18398	9226
666	18422	9197
667	18447	9168
668	18471	9139
669	18491	9107
670	18521	9081
671	18575	9066
672	18609	9041
673	18636	9014
674	18659	8984
675	18680	8953
676	18707	8925
677	18736	8898
678	18778	8877
679	18807	8850
680	18832	8821
681	18855	8791
682	18880	8762
683	18904	8733
684	18928	8704
685	18971	8683
686	19023	8667
687	19053	8640
688	19077	8611
689	19101	8581
690	19122	8551
691	19143	8520
692	19165	8490
693	19199	8465
694	19247	8446
695	19273	8418
696	19297	8388
697	19318	8358
698	19341	8328
699	19361	8297
700	19383	8267
701	19407	8238
702	19448	8216
703	19488	8194
704	19512	8164
705	19533	8134
706	19556	8104
707	19578	8074
708	19603	8046
709	19643	8023
710	19690	8003
711	19713	7974
712	19736	7944
713	19759	7914
714	19782	7885
715	19805	7855
716	19828	7826
717	19853	7797
718	19894	7775
719	19931	7751
720	19957	7722
721	19979	7692
722	20004	7664
723	20028	7634
724	20051	7605
725	20089	7581
726	20134	7560
727	20159	7532
728	20183	7503
729	20207	7473
730	20231	7444
731	20251	7414
732	20273	7384
733	20317	7363
734	20375	7346
735	20408	7320
736	20435	7292
737	20463	7264
738	20493	7237
739	20526	7211
740	20587	7195
741	20615	7168
742	20642	7140
743	20665	7110
744	20687	7080
745	20711	7052
746	20743	7025
747	20789	7003
748	20817	6976
749	20841	6947
750	20863	6917
751	20884	6887
752	20905	6857
753	20928	6828
754	20951	6798
755	20992	6775
756	21031	6751
757	21055	6722
758	21078	6693
759	21102	6664
760	21125	6634
761	21148	6605
762	21183	6580
763	21227	6557
764	21252	6528
765	21277	6499
766	21303	6471
767	21326	6442
768	21348	6412
769	21370	6383
770	21397	6355
771	21439	6331
772	21473	6305
773	21496	6276
774	21520	6247
775	21541	6218
776	21564	6188
777	21592	6161
778	21629	6136
779	21682	6115
780	21712	6088
781	21736	6059
782	21755	6029
783	21774	5999
784	21795	5969
785	21817	5940
786	21842	5911
787	21880	5886
788	21919	5861
789	21941	5832
790	21965	5803
791	21990	5775
792	22010	5745
793	22034	5716
794	22065	5689
795	22108	5665
796	22140	5639
797	22164	5610
798	22190	5582
799	22213	5553
800	22236	5524
801	22259	5495
802	22287	5467
803	22330	5443
804	22363	5417
805	22387	5388
806	22413	5360
807	22438	5331
808	22461	5303
809	22486	5274
810	22523	5248
811	22568	5225
