iter	Passed	Remaining
902	24974	2682
903	24998	2654
904	25021	2626
905	25043	2598
906	25066	2570
907	25089	2542
908	25116	2514
909	25155	2487
910	25190	2460
911	25214	2432
912	25236	2404
913	25259	2376
914	25282	2348
915	25304	2320
916	25330	2292
917	25374	2266
918	25409	2239
919	25432	2211
920	25455	2183
921	25476	2155
922	25499	2127
923	25521	2099
924	25550	2071
925	25593	2045
926	25628	2018
927	25653	1990
928	25675	1962
929	25696	1934
930	25717	1906
931	25739	1877
932	25763	1850
933	25799	1823
934	25836	1796
935	25862	1768
936	25884	1740
937	25907	1712
938	25928	1684
939	25952	1656
940	25974	1628
941	26008	1601
942	26049	1574
943	26073	1546
944	26097	1518
945	26121	1491
946	26143	1463
947	26165	1435
948	26197	1407
949	26239	1381
950	26270	1353
951	26295	1325
952	26318	1297
953	26339	1270
954	26360	1242
955	26383	1214
956	26408	1186
957	26453	1159
958	26488	1132
959	26513	1104
960	26537	1076
961	26561	1049
962	26585	1021
963	26618	994
964	26661	966
965	26696	939
966	26720	911
967	26745	884
968	26767	856
969	26789	828
970	26811	800
971	26845	773
972	26884	746
973	26914	718
974	26938	690
975	26960	662
976	26981	635
977	27001	607
978	27024	579
979	27047	551
980	27085	524
981	27127	497
982	27150	469
983	27174	441
984	27198	414
985	27220	386
986	27242	358
987	27272	331
988	27311	303
989	27345	276
990	27368	248
991	27391	220
992	27413	193
993	27435	165
994	27457	137
995	27485	110
996	27527	82
997	27565	55
998	27590	27
999	27615	0
